,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Khyri Thomas,2019,0.435,12.0,38.8,0.0,8988.0,0.0
Derrick White,2019,0.562,39.0,50.2,0.0,579.0,0.0
Greg Monroe,2019,0.729,31.0,41.2,0.0,54901.0,0.0
Shabazz Napier,2019,0.521,36.0,47.6,0.0,36100.0,0.0
Miloš Teodosić,2019,0.543,15.0,35.9,0.0,37163.0,0.0
Daryl Macon,2019,0.435,2.0,37.0,0.0,14276.0,0.0
Harrison Barnes,2019,0.435,42.0,56.0,0.0,77257.0,0.0
Shaquille Harrison,2019,0.234,38.0,42.4,0.0,17415.0,0.0
Channing Frye,2019,0.188,24.0,37.2,0.0,38440.0,0.0
Troy Brown Jr.,2019,0.435,24.0,37.4,0.0,16703.0,0.0
Thomas Bryant,2019,0.435,36.0,53.7,0.0,485.0,0.0
Cristiano Felício,2019,0.234,30.0,39.1,0.0,9266.0,0.0
Delon Wright,2019,0.729,43.0,47.5,0.0,28411.0,0.0
Udonis Haslem,2019,0.489,3.0,31.0,0.0,63190.0,0.0
Duncan Robinson,2019,0.489,4.0,35.8,0.0,696.0,0.0
Luke Kornet,2019,0.222,23.0,47.1,0.0,31945.0,0.0
Rondae Hollis-Jefferson,2019,0.521,37.0,47.3,0.0,19368.0,0.0
Thon Maker,2019,0.739,35.0,41.1,0.0,92813.0,0.0
Dewayne Dedmon,2019,0.304,36.0,50.8,0.0,14823.0,0.0
DeVaughn Akoon-Purcell,2019,0.689,7.0,34.7,0.0,9503.0,0.0
Tyrone Wallace,2019,0.543,36.0,37.3,0.0,10806.0,0.0
Mike Muscala,2019,0.646,41.0,45.5,0.0,47971.0,0.0
Ivica Zubac,2019,0.521,27.0,49.1,0.0,150284.0,0.0
Johnathan Williams,2019,0.521,7.0,38.7,0.0,19206.0,0.0
Svi Mykhailiuk,2019,0.521,34.0,36.3,0.0,1038.0,0.0
Shai Gilgeous-Alexander,2019,0.543,46.0,48.5,0.0,75290.0,0.0
Jacob Evans,2019,0.702,23.0,32.3,0.0,18670.0,0.0
De'Anthony Melton,2019,0.229,31.0,42.6,0.0,21014.0,0.0
Grayson Allen,2019,0.542,21.0,35.5,0.0,110393.0,0.0
Kris Dunn,2019,0.234,21.0,53.7,0.0,39940.0,0.0
Jerome Robinson,2019,0.543,10.0,35.5,0.0,17856.0,0.0
Luol Deng,2019,0.478,7.0,40.9,2.0,77448.0,0.0
Salah Mejri,2019,0.435,14.0,38.6,0.0,14886.0,0.0
Chris Boucher,2019,0.729,14.0,40.8,0.0,1983.0,0.0
Naz Mitrou-Long,2019,0.542,6.0,32.3,0.0,16577.0,0.0
Gary Trent Jr.,2019,0.604,7.0,33.4,0.0,25832.0,0.0
Jared Terrell,2019,0.478,3.0,27.3,0.0,7431.0,0.0
Thabo Sefolosha,2019,0.542,26.0,39.9,0.0,30736.0,0.0
Wayne Ellington,2019,0.489,22.0,44.9,0.0,22807.0,0.0
Wilson Chandler,2019,0.646,33.0,45.0,0.0,71551.0,0.0
Dwight Howard,2019,0.435,9.0,55.4,8.0,438187.0,0.0
Melvin Frazier,2019,0.426,3.0,31.3,0.0,7879.0,0.0
Zhou Qi,2019,0.565,1.0,39.0,0.0,36733.0,0.0
