,Name,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
560,Tyrell Terry,MEM,21,2,2,0,1.5,1,0.5,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,-1
566,Ed Davis,CLE,33,31,15,16,6.5,0.9,0.4,0.5,68.8,0,0,0,0.2,0.5,42.9,0.5,1.6,2.1,0.2,0.2,0.1,0.3,1.1,4.7,0,0,0.5
567,Carlik Jones,DEN,24,5,3,2,4.7,0.8,0.2,1.8,11.1,0,0.2,0,0.4,0.4,100,0.2,0.4,0.6,1,0.6,0.2,0,0,3,0,0,-4
567,Isaac Bonga,TOR,22,15,9,6,4.6,0.8,0.2,0.9,23.1,0.1,0.3,25,0.3,0.5,62.5,0.3,0.2,0.5,0.3,0.1,0.5,0.1,0.7,3.6,0,0,-2.1
569,Chandler Hutchison,PHX,26,6,4,2,3.7,0.7,0.2,0.3,50,0,0,0,0.3,0.3,100,0,0.8,0.8,0.3,0.7,0,0,0.2,1.5,0,0,2.5
569,DaQuan Jeffries,MEM,24,3,3,0,2.9,0.7,0.3,0.7,50,0,0.3,0,0,0,0,0,0.7,0.7,0.3,0,0,0,0.3,2,0,0,-1
569,Jarron Cumberland,POR,24,3,0,3,4.1,0.7,0.3,0.7,50,0,0.3,0,0,0,0,0.3,0.7,1,0.3,0,0,0,0.7,2.4,0,0,3
569,Jaylen Morris,SAS,26,3,0,3,5.3,0.7,0,2,0,0,0.7,0,0.7,1.3,50,0,0.7,0.7,0.7,0.3,0,0,0.7,2.1,0,0,2.7
573,Solomon Hill,ATL,31,13,7,6,10.7,0.6,0.2,1.5,15,0.2,1,15.4,0,0,0,0.5,1.3,1.8,0.9,0.1,0.3,0.2,1.2,5.4,0,0,3.2
574,Robert Woodard II,SAS,22,12,0,12,3.5,0.6,0.2,1.3,12.5,0.1,0.3,25,0.2,0.2,100,0.4,0.5,0.9,0.3,0.1,0.1,0.1,0.3,2.5,0,0,1.3
575,Xavier Sneed,UTA,24,9,7,2,4.3,0.6,0.2,1.1,20,0.1,0.9,12.5,0,0,0,0.2,0.4,0.7,0.1,0,0,0,0.2,1.5,0,0,-0.7
576,Sharife Cooper,ATL,21,13,8,5,3,0.5,0.2,1.1,21.4,0.1,0.5,16.7,0,0,0,0,0.4,0.4,0.4,0.4,0,0,0.1,1.2,0,0,-2.7
577,Scottie Lewis,CHA,22,2,1,1,3.3,0.5,0,0,0,0,0,0,0.5,1,50,0,0,0,0.5,0,0.5,0,0,2.8,0,0,-2
578,Aaron Henry,PHI,22,6,6,0,2.8,0.3,0.2,0.8,20,0,0.2,0,0,0,0,0,0.2,0.2,0,0.3,0,0.3,0.3,1.2,0,0,-3.3
579,Miye Oni,UTA,24,16,15,1,2.8,0.3,0.1,0.6,22.2,0.1,0.5,12.5,0,0.1,0,0.1,0.4,0.4,0.3,0.1,0,0,0.4,1.2,0,0,-2
580,Joel Ayayi,WAS,22,7,1,6,2.9,0.3,0.1,0.9,16.7,0,0.1,0,0,0,0,0.1,0.3,0.4,0.6,0,0,0,0,1.7,0,0,0.4
581,George King,DAL,28,4,2,2,4.8,0.3,0,1.3,0,0,1,0,0.3,0.5,50,0,1.3,1.3,0,0.3,0,0,1,1.5,0,0,-6.8
582,Ade Murkey,SAC,24,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
582,Anthony Lamb,HOU,24,2,0,2,3.8,0,0,1,0,0,1,0,0,0,0,0,0.5,0.5,1,0,0,0,0,2.1,0,0,2.5
582,Arnoldas Kulboka,CHA,24,2,2,0,2.7,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,-6
582,CJ Miles,BOS,35,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-5
582,Cat Barber,ATL,27,3,0,3,4.3,0,0,1.3,0,0,0,0,0,1.3,0,0.3,0.7,1,1,0.3,0,0,0.3,2.4,0,0,3.7
582,David Johnson,TOR,21,2,2,0,1,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
