,W,L,%,P_W,P_L,P_%
417,70.0,92.0,0.432,1.0,2.0,0.333
418,14.0,20.0,0.412,0.0,0.0,0.0
419,79.0,95.0,0.455,4.0,3.0,0.571
420,25.0,25.0,0.5,0.0,1.0,0.0
421,33.0,32.0,0.508,0.0,2.0,0.0
422,47.0,81.0,0.367,0.0,0.0,0.0
423,4.0,12.0,0.25,0.0,0.0,0.0
424,25.0,23.0,0.521,1.0,1.0,0.5
425,105.0,119.0,0.469,1.0,5.0,0.167
426,171.0,197.0,0.465,7.0,6.0,0.538
427,20.0,14.0,0.588,0.0,2.0,0.0
428,52.0,60.0,0.464,1.0,1.0,0.5
429,48.0,35.0,0.578,1.0,3.0,0.25
430,5.0,12.0,0.294,0.0,0.0,0.0
431,59.0,85.0,0.41,0.0,1.0,0.0
432,23.0,57.0,0.287,0.0,0.0,0.0
433,76.0,84.0,0.475,3.0,5.0,0.375
434,35.0,60.0,0.371,0.0,1.0,0.0
435,137.0,119.0,0.535,5.0,6.0,0.455
436,81.0,129.0,0.386,2.0,2.0,0.5
437,11.0,6.0,0.647,0.0,1.0,0.0
438,112.0,147.0,0.432,4.0,6.0,0.4
439,12.0,5.0,0.706,2.0,1.0,0.667
440,20.0,12.0,0.625,1.0,1.0,0.5
441,10.0,6.0,0.625,1.0,1.0,0.5
442,129.0,161.0,0.445,5.0,5.0,0.5
443,16.0,33.0,0.327,0.0,0.0,0.0
444,32.0,34.0,0.485,1.0,2.0,0.333
445,122.0,86.0,0.587,7.0,8.0,0.467
446,,,,,,
447,227.0,201.0,0.53,8.0,12.0,0.4
448,33.0,50.0,0.398,0.0,0.0,0.0
449,37.0,44.0,0.457,5.0,2.0,0.714
450,134.0,157.0,0.46,4.0,7.0,0.364
451,167.0,107.0,0.61,9.0,8.0,0.529
452,189.0,183.0,0.508,7.0,9.0,0.438
453,,,,,,
454,19.0,29.0,0.396,0.0,0.0,0.0
455,73.0,90.0,0.448,2.0,4.0,0.333
456,114.0,110.0,0.509,6.0,4.0,0.6
457,43.0,55.0,0.439,2.0,3.0,0.4
458,32.0,48.0,0.4,0.0,1.0,0.0
459,6.0,26.0,0.188,0.0,0.0,0.0
460,7.0,9.0,0.438,0.0,0.0,0.0
461,116.0,108.0,0.518,13.0,3.0,0.812
462,189.0,134.0,0.585,14.0,11.0,0.56
463,37.0,59.0,0.385,0.0,0.0,0.0
464,14.0,18.0,0.438,1.0,1.0,0.5
465,62.0,34.0,0.646,1.0,3.0,0.25
466,14.0,18.0,0.438,1.0,1.0,0.5
467,37.0,44.0,0.457,5.0,2.0,0.714
468,7.0,26.0,0.221,0.0,0.0,0.0
469,293.0,283.0,0.509,12.0,15.0,0.444
470,183.0,216.0,0.459,7.0,7.0,0.5
471,263.0,253.0,0.51,11.0,11.0,0.5
472,9.0,7.0,0.562,1.0,1.0,0.5
473,129.0,193.0,0.401,2.0,4.0,0.333
474,24.0,27.0,0.471,0.0,1.0,0.0
475,,,,,,
476,,,,,,
477,86.0,89.0,0.491,3.0,5.0,0.375
478,,,,,,
479,87.0,73.0,0.544,6.0,5.0,0.545
480,144.0,111.0,0.565,11.0,6.0,0.647
481,201.0,152.0,0.569,12.0,11.0,0.522
482,22.0,26.0,0.458,0.0,0.0,0.0
483,191.0,194.0,0.496,12.0,7.0,0.632
484,37.0,27.0,0.578,0.0,1.0,0.0
485,80.0,112.0,0.417,1.0,3.0,0.25
486,21.0,11.0,0.656,3.0,0.0,1.0
487,4.0,13.0,0.235,0.0,0.0,0.0
488,52.0,60.0,0.464,0.0,3.0,0.0
489,103.0,153.0,0.402,4.0,4.0,0.5
490,23.0,11.0,0.677,1.0,2.0,0.333
491,40.0,56.0,0.417,0.0,0.0,0.0
492,24.0,27.0,0.471,0.0,1.0,0.0
493,,,,,,
494,38.0,40.0,0.487,3.0,2.0,0.6
495,37.0,29.0,0.56,4.0,3.0,0.571
496,179.0,111.0,0.617,17.0,8.0,0.68
497,120.0,75.0,0.615,14.0,5.0,0.737
498,75.0,78.0,0.49,4.0,5.0,0.444
499,32.0,16.0,0.667,4.0,3.0,0.571
500,0.0,16.0,0.0,0.0,0.0,0.0
501,79.0,81.0,0.494,2.0,4.0,0.333
502,55.0,42.0,0.567,1.0,3.0,0.25
503,34.0,46.0,0.425,0.0,0.0,0.0
504,27.0,20.0,0.573,3.0,2.0,0.6
505,17.0,15.0,0.531,1.0,1.0,0.5
506,7.0,10.0,0.412,0.0,0.0,0.0
507,41.0,37.0,0.525,0.0,2.0,0.0
508,7.0,9.0,0.438,0.0,0.0,0.0
509,18.0,14.0,0.562,4.0,0.0,1.0
510,67.0,45.0,0.598,2.0,3.0,0.4
511,25.0,42.0,0.373,0.0,0.0,0.0
512,,,,,,
513,17.0,33.0,0.34,0.0,0.0,0.0
514,5.0,11.0,0.312,0.0,0.0,0.0
515,81.0,97.0,0.455,2.0,2.0,0.5
516,297.0,205.0,0.591,26.0,16.0,0.619
517,7.0,9.0,0.438,0.0,0.0,0.0
518,32.0,34.0,0.485,2.0,2.0,0.5
519,23.0,25.0,0.479,0.0,1.0,0.0
520,6.0,10.0,0.375,0.0,0.0,0.0
521,34.0,17.0,0.667,2.0,3.0,0.4
522,14.0,18.0,0.438,1.0,1.0,0.5
523,8.0,9.0,0.471,0.0,0.0,0.0
524,3.0,13.0,0.206,0.0,0.0,0.0
525,11.0,6.0,0.647,0.0,1.0,0.0
526,37.0,30.0,0.552,0.0,2.0,0.0
