Name,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Shaquille Harrison,23,384,15.6,0.54,0.21,0.306,2.5,14.7,8.5,22.2,3.2,1.5,13.5,18,0.4,0.4,0.8,0.094,-2.3,1.7,-0.7,0.1
Josh Hart,63,1461,12.2,0.596,0.525,0.251,3.1,16,9.6,7.6,1.5,0.9,10.1,13.5,1.9,1.5,3.4,0.111,-0.6,0.5,-0.1,0.7
Udonis Haslem,14,72,1.8,0.252,0.533,0.133,4.7,10.9,7.8,9.2,0,2.4,11.2,11.1,-0.1,0.1,-0.1,-0.059,-5.9,-1.8,-7.7,-0.1
Nigel Hayes,9,122,6.4,0.393,0.485,0.091,3.6,17.5,10.3,6.7,0.8,2.3,5.5,13.3,-0.2,0.1,-0.1,-0.034,-3.7,-0.1,-3.8,-0.1
Gordon Hayward,1,5,7.3,0.5,0.5,0,0,21.6,10.9,0,0,0,0,17.9,0,0,0,0.056,-6.6,-0.8,-7.4,0
Reggie Hearn,3,7,13.1,0.75,1,0,0,0,0,0,0,0,0,12.7,0,0,0,0.132,2.9,-1.4,1.5,0
Myke Henry,20,378,9.7,0.472,0.532,0.092,3,8.8,5.8,8.9,4.1,1.5,14.4,15.7,-0.3,0.4,0.1,0.017,-3.1,1.8,-1.3,0.1
John Henson,76,1970,15.7,0.582,0.014,0.315,9,21.5,15.3,8.6,1.1,4.7,12.8,15,2.8,2.2,4.9,0.12,-1,0.1,-0.9,0.5
Juancho Hernangómez,25,277,9.7,0.511,0.667,0.16,7.4,14.6,11,5.9,1.1,0.9,10.1,14,0.2,0.1,0.4,0.061,-1.6,-1.7,-3.3,-0.1
Willy Hernangómez,48,495,21.2,0.604,0.073,0.549,13.3,27.2,20.2,10.5,1.8,2.7,14.7,21,1.1,0.7,1.8,0.174,0.9,0.5,1.4,0.4
Mario Hezonja,75,1657,13.7,0.544,0.433,0.17,2.7,16.1,9.3,10,2.4,1.5,11.5,19.9,0.5,1.8,2.3,0.066,-0.9,0.4,-0.5,0.6
Isaiah Hicks,18,240,6.8,0.501,0.125,0.25,4.6,14.3,9.5,9.5,0.4,1.4,16.7,17.4,-0.1,0.1,0,-0.003,-6.4,-1.2,-7.6,-0.3
Buddy Hield,80,2024,16.1,0.557,0.437,0.087,3,14.8,8.6,12.8,2.1,1,11.3,24.3,1.3,1.5,2.8,0.067,1.6,-0.5,1,1.5
Nenê,52,758,16.4,0.594,0.008,0.448,8.1,18,13.1,9.5,1.8,1.6,11.7,18.9,1.5,1.1,2.6,0.163,-1.6,0.6,-1,0.2
George Hill,67,1812,13.3,0.58,0.4,0.273,2.6,8.9,5.7,15,1.7,1.3,13.3,16.3,2.3,0.9,3.2,0.085,-0.2,-0.5,-0.8,0.6
Solomon Hill,12,187,4.8,0.332,0.512,0.146,5.4,15.1,10.4,14.4,1.8,0.4,17.1,12.2,-0.2,0.2,-0.1,-0.014,-5.3,0.5,-4.8,-0.1
Darrun Hilliard,14,95,3.4,0.362,0.316,0.368,0,8.2,4.1,15.3,1.1,0,15.3,12.3,-0.1,0.1,0,-0.015,-7.1,-0.8,-7.9,-0.1
Jrue Holiday,81,2927,17.8,0.57,0.286,0.191,2.4,10.8,6.8,24.9,2,1.7,13.6,23.1,4.2,2.9,7.1,0.116,1.3,0.3,1.6,2.7
Justin Holiday,72,2265,10.8,0.513,0.574,0.21,1.4,12.8,6.9,10.1,1.7,1.2,9.8,18.2,0.1,1.6,1.7,0.036,-1.6,-0.3,-1.9,0
John Holland,24,174,5.9,0.417,0.61,0.22,3.9,11.4,7.7,3.9,2,1,11,18.5,-0.3,0.1,-0.2,-0.05,-3.6,-1.9,-5.5,-0.2
Rondae Hollis-Jefferson,68,1920,16.9,0.548,0.075,0.436,5.5,20,12.7,14.2,1.6,1.9,12.3,22.2,2.1,2,4.1,0.103,-0.3,0.4,0.1,1
Richaun Holmes,48,746,17.4,0.585,0.129,0.232,8.6,21.4,15.2,12.3,1.3,3.2,8.6,16.6,1.6,1.3,2.8,0.183,-0.3,1.4,1.1,0.6
Rodney Hood,60,1616,14.3,0.546,0.443,0.172,1.6,9.9,5.8,9.7,1.4,0.6,8,24.3,1.2,1.5,2.7,0.081,0.8,-0.9,-0.1,0.8
