Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
94,Gabriel Davis,BUF,24,WR,17,17,81,45,746,7,34,566,12.6,180,4.0,15.2,1,45.0,3,3.7,6,84.7,DaviGa01
95,James Cook*,BUF,24,RB,17,13,54,44,445,4,16,47,1.1,398,9.0,2.5,7,6.3,5,9.3,0,125.7,CookJa01
96,Jerome Ford,CLE,24,RB,17,12,63,44,319,5,16,15,0.3,304,6.9,0.5,4,11.0,9,14.3,0,107.8,FordJe00
97,Isiah Pacheco,KAN,24,RB,14,13,49,44,244,2,12,-115,-2.6,359,8.2,-2.3,4,11.0,2,4.1,0,101.0,PachIs00
98,Jonathan Mingo,CAR,22,WR,15,14,85,43,418,0,15,263,6.1,155,3.6,10.8,1,43.0,4,4.7,2,54.9,MingJo00
99,Hunter Henry,NWE,29,TE,14,10,61,42,419,6,29,341,8.1,78,1.9,8.8,1,42.0,3,4.9,2,107.2,HenrHu00
100,Tee Higgins,CIN,24,WR,12,11,76,42,656,5,33,421,10.0,235,5.6,12.8,0,,7,9.2,1,100.5,HiggTe00
101,Saquon Barkley,NYG,26,RB,14,14,60,41,280,4,16,54,1.3,226,5.5,2.5,3,13.7,5,8.3,3,79.9,BarkSa00
102,Rondale Moore,ARI,23,WR,17,8,62,40,352,1,17,136,3.4,216,5.4,5.2,2,20.0,3,4.8,0,84.9,MoorRo02
103,Josh Reynolds,DET,28,WR,17,13,64,40,608,5,32,435,10.9,173,4.3,10.1,2,20.0,4,6.3,1,113.3,ReynJo00
104,Robert Woods,HOU,31,WR,14,11,75,40,426,1,26,300,7.5,126,3.2,9.8,1,40.0,4,5.3,1,69.1,WoodRo02
105,Tutu Atwell,LAR,24,WR,16,14,67,39,483,3,26,379,9.7,104,2.7,11.4,0,,4,6.0,2,83.1,AtweTu00
106,Chuba Hubbard,CAR,24,RB,17,12,44,39,233,0,9,-36,-0.9,269,6.9,-0.8,5,7.8,1,2.3,1,79.3,HubbCh01
107,Tanner Hudson,CIN,29,TE,12,1,50,39,352,1,21,204,5.2,148,3.8,5.4,2,19.5,1,2.0,1,94.3,HudsTa00
108,Trey Palmer,TAM,22,WR,17,8,68,39,385,3,17,282,7.2,103,2.6,10.9,0,,4,5.9,1,82.0,PalmTr00
109,Khalil Shakir,BUF,23,WR,17,10,45,39,611,2,26,329,8.4,282,7.2,8.9,0,,0,0.0,0,133.6,ShakKh00
110,D'Andre Swift*,PHI,24,RB,16,15,49,39,214,1,8,-53,-1.4,267,6.8,0.6,2,19.5,1,2.0,1,83.2,SwifDA00
111,Michael Thomas,NOR,30,WR,10,7,64,39,448,1,21,348,8.9,100,2.6,10.2,2,19.5,3,4.7,1,80.7,ThomMi05
112,Dontayvion Wicks,GNB,22,WR,15,6,58,39,581,4,29,371,9.5,210,5.4,10.1,5,7.8,3,5.2,1,115.7,WickDo00
113,Quentin Johnston,LAC,22,WR,17,10,67,38,431,2,20,279,7.3,152,4.0,12.9,2,19.0,3,4.5,1,79.9,JohnQu02
114,Josh Palmer,LAC,24,WR,10,6,61,38,581,2,22,385,10.1,196,5.2,11.4,1,38.0,3,4.9,1,97.8,PalmJo00
115,Rhamondre Stevenson,NWE,25,RB,12,12,51,38,238,0,8,-23,-0.6,261,6.9,0.3,3,12.7,4,7.8,1,75.4,StevRh00
116,Michael Wilson,ARI,23,WR,13,12,58,38,565,3,29,426,11.2,139,3.7,12.3,3,12.7,0,0.0,2,100.1,WilsMi02
117,Kendrick Bourne,NWE,28,WR,8,5,55,37,406,4,15,203,5.5,203,5.5,10.4,2,18.5,1,1.8,3,90.4,BourKe00
118,Josh Jacobs,LVR,25,RB,13,13,54,37,296,0,15,3,0.1,293,7.9,0.7,3,12.3,5,9.3,2,66.6,JacoJo01
119,Juwan Johnson,NOR,27,TE,13,11,59,37,368,4,23,223,6.0,145,3.9,7.4,3,12.3,3,5.1,4,74.7,JohnJu02
120,Brian Robinson Jr.,WAS,24,RB,15,15,43,36,368,4,15,-43,-1.2,411,11.4,-1.3,6,6.0,3,7.0,0,133.3,RobiBr01
121,Nelson Agholor,BAL,30,WR,17,3,45,35,381,4,19,240,6.9,141,4.0,9.3,2,17.5,2,4.4,1,122.3,AghoNe00
122,Odell Beckham Jr.,BAL,31,WR,14,6,64,35,565,3,27,410,11.7,155,4.4,13.9,0,,3,4.7,1,93.6,BeckOd00
123,DJ Chark,CAR,27,WR,15,11,66,35,525,5,22,441,12.6,84,2.4,15.4,1,35.0,4,6.1,0,104.7,CharDJ00
124,Kalif Raymond,DET,29,WR,17,3,44,35,489,1,20,275,7.9,214,6.1,8.8,1,35.0,2,4.5,0,120.5,RaymKa00
125,Durham Smythe,MIA,28,TE,16,14,43,35,366,0,22,227,6.5,139,4.0,6.6,0,,1,2.3,0,102.1,SmytDu00
126,Michael Gallup,DAL,27,WR,17,13,57,34,418,2,19,314,9.2,104,3.1,10.9,3,11.3,5,8.8,2,79.4,GallMi00
127,Roschon Johnson,CHI,22,RB,15,0,40,34,209,0,6,-38,-1.1,247,7.3,-0.8,6,5.7,1,2.5,0,88.4,JohnRo07
128,Zay Jones,JAX,28,WR,9,7,64,34,321,2,14,270,7.9,51,1.5,13.6,0,,1,1.6,2,64.6,JoneZa00
129,Luke Musgrave,GNB,23,TE,11,9,46,34,352,1,14,183,5.4,169,5.0,7.5,0,,3,6.5,0,102.8,MusgLu00
